epoch: 0 batch_idx:1, train_loss: 12.850609302520752
epoch: 0 batch_idx:501, train_loss: 3.6161809162703342
epoch: 0 batch_idx:1001, train_loss: 3.1101656568782787
epoch: 0 batch_idx:1501, train_loss: 2.9233837958988667
epoch: 0 batch_idx:2001, train_loss: 2.796608135120935
epoch: 0 batch_idx:2501, train_loss: 2.696400244203044
epoch: 0 batch_idx:3001, train_loss: 2.616231412921934
epoch: 0 batch_idx:3501, train_loss: 2.568708985579998
epoch: 0 batch_idx:4001, train_loss: 2.516414593151959
epoch: 0 batch_idx:4501, train_loss: 2.4706374482214253
epoch: 0 batch_idx:5001, train_loss: 2.4263314911699
epoch: 0 batch_idx:5501, train_loss: 2.3961216489574655
epoch: 0 batch_idx:6001, train_loss: 2.364834740671033
epoch: 0 batch_idx:6501, train_loss: 2.3333604800664007
epoch: 0 batch_idx:7001, train_loss: 2.309683692424323
epoch: 0 batch_idx:7501, train_loss: 2.289301641748287
epoch: 0 batch_idx:8001, train_loss: 2.261201433504042
epoch: 0 batch_idx:8501, train_loss: 2.2423078171205955
epoch: 0 batch_idx:9001, train_loss: 2.220549255004841
epoch: 0 batch_idx:9501, train_loss: 2.204909427982122
epoch: 0 batch_idx:10001, train_loss: 2.1908982599781948
epoch: 0 batch_idx:10501, train_loss: 2.175196133757966
epoch: 0 batch_idx:11001, train_loss: 2.1643599440011734
epoch: 0 batch_idx:11501, train_loss: 2.1482734732560145
epoch: 0 batch_idx:12001, train_loss: 2.137596131416106
epoch: 0 batch_idx:12501, train_loss: 2.1228758376768178
epoch: 0 batch_idx:13001, train_loss: 2.112178460810826
epoch: 0 batch_idx:13501, train_loss: 2.101290781072167
epoch: 0 batch_idx:14001, train_loss: 2.0885228191969816
epoch: 0 batch_idx:14501, train_loss: 2.0772659267462585
epoch: 0 batch_idx:15001, train_loss: 2.067120861649115
epoch: 0 batch_idx:15501, train_loss: 2.0566714446101035
epoch: 0 batch_idx:16001, train_loss: 2.045910191496208
epoch: 0 batch_idx:16501, train_loss: 2.0374090915655203
epoch: 0 batch_idx:17001, train_loss: 2.0279725993434603
